"parameter","mean","sd","pt","group","model"
"psi",0.132,0.009,46,"All","eKF"
"w0",0.167,0.018,46,"All","eKF"
"xi",0.023,0.041,46,"All","eKF"
"cs",0.123,0.009,47,"All","eKF"
"E0",0.106,0.047,47,"All","eKF"
"eps",0.101,0.01,47,"All","eKF"
"eta",0.09,0.006,47,"All","eKF"
"psi",0.128,0.011,47,"All","eKF"
"w0",0.177,0.018,47,"All","eKF"
"xi",0.051,0.052,47,"All","eKF"
"cs",0.123,0.009,48,"All","eKF"
"E0",0.106,0.046,48,"All","eKF"
"eps",0.1,0.01,48,"All","eKF"
"eta",0.09,0.006,48,"All","eKF"
"psi",0.129,0.011,48,"All","eKF"
"w0",0.177,0.02,48,"All","eKF"
"xi",0.056,0.052,48,"All","eKF"
"cs",0.123,0.009,49,"All","eKF"
"E0",0.111,0.045,49,"All","eKF"
"eps",0.1,0.01,49,"All","eKF"
"eta",0.089,0.006,49,"All","eKF"
"psi",0.13,0.011,49,"All","eKF"
"w0",0.177,0.017,49,"All","eKF"
"xi",0.061,0.051,49,"All","eKF"
"cs",0.122,0.008,50,"All","eKF"
"E0",0.107,0.046,50,"All","eKF"
"eps",0.099,0.01,50,"All","eKF"
"eta",0.09,0.007,50,"All","eKF"
"psi",0.13,0.01,50,"All","eKF"
"w0",0.176,0.017,50,"All","eKF"
"xi",0.06,0.051,50,"All","eKF"
"cs",0.122,0.008,51,"All","eKF"
"E0",0.112,0.044,51,"All","eKF"
"eps",0.099,0.01,51,"All","eKF"
"eta",0.09,0.006,51,"All","eKF"
"psi",0.13,0.011,51,"All","eKF"
"w0",0.179,0.017,51,"All","eKF"
"xi",0.059,0.05,51,"All","eKF"
"cs",0.123,0.008,52,"All","eKF"
"E0",0.108,0.044,52,"All","eKF"
"eps",0.1,0.01,52,"All","eKF"
"eta",0.09,0.006,52,"All","eKF"
"psi",0.129,0.01,52,"All","eKF"
"w0",0.178,0.017,52,"All","eKF"
"xi",0.056,0.05,52,"All","eKF"
"cs",0.123,0.008,53,"All","eKF"
"E0",0.114,0.043,53,"All","eKF"
"eps",0.099,0.009,53,"All","eKF"
"eta",0.09,0.005,53,"All","eKF"
"psi",0.13,0.01,53,"All","eKF"
"w0",0.18,0.016,53,"All","eKF"
"xi",0.06,0.049,53,"All","eKF"
"cs",0.123,0.008,54,"All","eKF"
"E0",0.11,0.043,54,"All","eKF"
"eps",0.099,0.009,54,"All","eKF"
"eta",0.09,0.006,54,"All","eKF"
"psi",0.129,0.01,54,"All","eKF"
"w0",0.179,0.017,54,"All","eKF"
"xi",0.056,0.049,54,"All","eKF"
"cs",0.123,0.008,55,"All","eKF"
"E0",0.111,0.042,55,"All","eKF"
"eps",0.099,0.009,55,"All","eKF"
"eta",0.09,0.005,55,"All","eKF"
"psi",0.13,0.01,55,"All","eKF"
"w0",0.179,0.015,55,"All","eKF"
"xi",0.058,0.049,55,"All","eKF"
"cs",0.122,0.007,56,"All","eKF"
"E0",0.11,0.041,56,"All","eKF"
"eps",0.1,0.009,56,"All","eKF"
"eta",0.089,0.005,56,"All","eKF"
"psi",0.13,0.01,56,"All","eKF"
"w0",0.179,0.016,56,"All","eKF"
"xi",0.058,0.048,56,"All","eKF"
"cs",0.123,0.007,57,"All","eKF"
"E0",0.101,0.041,57,"All","eKF"
"eps",0.101,0.007,57,"All","eKF"
"eta",0.089,0.005,57,"All","eKF"
"psi",0.129,0.01,57,"All","eKF"
"w0",0.178,0.015,57,"All","eKF"
"xi",0.054,0.048,57,"All","eKF"
"cs",0.123,0.007,58,"All","eKF"
"E0",0.111,0.04,58,"All","eKF"
"eps",0.1,0.008,58,"All","eKF"
"eta",0.09,0.005,58,"All","eKF"
"psi",0.13,0.009,58,"All","eKF"
"w0",0.179,0.016,58,"All","eKF"
"xi",0.062,0.046,58,"All","eKF"
"cs",0.123,0.007,59,"All","eKF"
"E0",0.114,0.039,59,"All","eKF"
"eps",0.099,0.008,59,"All","eKF"
"eta",0.09,0.005,59,"All","eKF"
"psi",0.129,0.009,59,"All","eKF"
"w0",0.177,0.015,59,"All","eKF"
"xi",0.06,0.046,59,"All","eKF"
"cs",0.123,0.007,60,"All","eKF"
"E0",0.113,0.038,60,"All","eKF"
"eps",0.099,0.008,60,"All","eKF"
"eta",0.09,0.004,60,"All","eKF"
"psi",0.129,0.009,60,"All","eKF"
"w0",0.178,0.015,60,"All","eKF"
"xi",0.06,0.046,60,"All","eKF"
"cs",0.123,0.006,61,"All","eKF"
"E0",0.109,0.039,61,"All","eKF"
"eps",0.1,0.008,61,"All","eKF"
"eta",0.089,0.005,61,"All","eKF"
"psi",0.13,0.009,61,"All","eKF"
"w0",0.18,0.015,61,"All","eKF"
"xi",0.065,0.044,61,"All","eKF"
"cs",0.123,0.006,62,"All","eKF"
"E0",0.11,0.037,62,"All","eKF"
"eps",0.099,0.008,62,"All","eKF"
"eta",0.09,0.004,62,"All","eKF"
"psi",0.129,0.009,62,"All","eKF"
"w0",0.179,0.013,62,"All","eKF"
"xi",0.064,0.044,62,"All","eKF"
"cs",0.123,0.006,63,"All","eKF"
"E0",0.11,0.037,63,"All","eKF"
"eps",0.1,0.007,63,"All","eKF"
"eta",0.09,0.004,63,"All","eKF"
"psi",0.129,0.008,63,"All","eKF"
"w0",0.18,0.014,63,"All","eKF"
"xi",0.063,0.044,63,"All","eKF"
"cs",0.123,0.006,64,"All","eKF"
"E0",0.113,0.036,64,"All","eKF"
"eps",0.1,0.007,64,"All","eKF"
"eta",0.089,0.004,64,"All","eKF"
"psi",0.13,0.008,64,"All","eKF"
"w0",0.179,0.013,64,"All","eKF"
"xi",0.064,0.043,64,"All","eKF"
"cs",0.123,0.006,65,"All","eKF"
"E0",0.11,0.036,65,"All","eKF"
"eps",0.1,0.007,65,"All","eKF"
"eta",0.09,0.004,65,"All","eKF"
"psi",0.13,0.008,65,"All","eKF"
"w0",0.177,0.013,65,"All","eKF"
"xi",0.062,0.043,65,"All","eKF"
"cs",0.123,0.006,66,"All","eKF"
"E0",0.111,0.035,66,"All","eKF"
"eps",0.099,0.007,66,"All","eKF"
"eta",0.09,0.004,66,"All","eKF"
"psi",0.13,0.008,66,"All","eKF"
"w0",0.179,0.012,66,"All","eKF"
"xi",0.066,0.041,66,"All","eKF"
"cs",0.123,0.006,67,"All","eKF"
"E0",0.113,0.034,67,"All","eKF"
"eps",0.099,0.007,67,"All","eKF"
"eta",0.09,0.004,67,"All","eKF"
"psi",0.13,0.007,67,"All","eKF"
"w0",0.179,0.013,67,"All","eKF"
"xi",0.065,0.041,67,"All","eKF"
"cs",0.124,0.006,68,"All","eKF"
"E0",0.107,0.036,68,"All","eKF"
"eps",0.1,0.007,68,"All","eKF"
"eta",0.089,0.004,68,"All","eKF"
"psi",0.129,0.007,68,"All","eKF"
"w0",0.179,0.013,68,"All","eKF"
"xi",0.062,0.041,68,"All","eKF"
"cs",0.121,0.008,69,"All","eKF"
"E0",0.1,0.037,69,"All","eKF"
"eps",0.103,0.006,69,"All","eKF"
"eta",0.088,0.003,69,"All","eKF"
"psi",0.126,0.005,69,"All","eKF"
"w0",0.174,0.008,69,"All","eKF"
"xi",0.085,0.023,69,"All","eKF"
"cs",0.123,0.005,70,"All","eKF"
"E0",0.113,0.032,70,"All","eKF"
"eps",0.099,0.006,70,"All","eKF"
"eta",0.09,0.004,70,"All","eKF"
"psi",0.13,0.007,70,"All","eKF"
"w0",0.179,0.011,70,"All","eKF"
"xi",0.067,0.038,70,"All","eKF"
"cs",0.123,0.006,71,"All","eKF"
"E0",0.114,0.031,71,"All","eKF"
"eps",0.099,0.006,71,"All","eKF"
"eta",0.09,0.003,71,"All","eKF"
"psi",0.129,0.007,71,"All","eKF"
"w0",0.178,0.011,71,"All","eKF"
"xi",0.064,0.039,71,"All","eKF"
"cs",0.123,0.006,72,"All","eKF"
"E0",0.126,0.022,72,"All","eKF"
"eps",0.097,0.006,72,"All","eKF"
"eta",0.089,0.005,72,"All","eKF"
"psi",0.13,0.006,72,"All","eKF"
"w0",0.177,0.012,72,"All","eKF"
"xi",0.07,0.035,72,"All","eKF"
"cs",0.123,0.005,73,"All","eKF"
"E0",0.116,0.03,73,"All","eKF"
"eps",0.099,0.006,73,"All","eKF"
"eta",0.09,0.003,73,"All","eKF"
"psi",0.13,0.007,73,"All","eKF"
"w0",0.178,0.011,73,"All","eKF"
"xi",0.065,0.038,73,"All","eKF"
"cs",0.123,0.005,74,"All","eKF"
"E0",0.113,0.03,74,"All","eKF"
"eps",0.098,0.007,74,"All","eKF"
"eta",0.09,0.003,74,"All","eKF"
"psi",0.131,0.006,74,"All","eKF"
"w0",0.18,0.01,74,"All","eKF"
"xi",0.07,0.035,74,"All","eKF"
"cs",0.122,0.006,75,"All","eKF"
"E0",0.102,0.033,75,"All","eKF"
"eps",0.099,0.006,75,"All","eKF"
"eta",0.09,0.003,75,"All","eKF"
"psi",0.129,0.007,75,"All","eKF"
"w0",0.178,0.009,75,"All","eKF"
"xi",0.063,0.038,75,"All","eKF"
"cs",0.123,0.005,76,"All","eKF"
"E0",0.114,0.028,76,"All","eKF"
"eps",0.099,0.006,76,"All","eKF"
"eta",0.09,0.003,76,"All","eKF"
"psi",0.13,0.006,76,"All","eKF"
"w0",0.178,0.01,76,"All","eKF"
"xi",0.063,0.037,76,"All","eKF"
"cs",0.122,0.003,77,"All","eKF"
"E0",0.119,0.024,77,"All","eKF"
"eps",0.098,0.004,77,"All","eKF"
"eta",0.092,0.003,77,"All","eKF"
"psi",0.131,0.006,77,"All","eKF"
"w0",0.181,0.008,77,"All","eKF"
"xi",0.073,0.03,77,"All","eKF"
"cs",0.123,0.005,78,"All","eKF"
"E0",0.115,0.027,78,"All","eKF"
"eps",0.099,0.005,78,"All","eKF"
"eta",0.09,0.003,78,"All","eKF"
"psi",0.13,0.006,78,"All","eKF"
"w0",0.179,0.01,78,"All","eKF"
"xi",0.067,0.034,78,"All","eKF"
"cs",0.123,0.005,79,"All","eKF"
"E0",0.116,0.026,79,"All","eKF"
"eps",0.1,0.005,79,"All","eKF"
"eta",0.09,0.003,79,"All","eKF"
"psi",0.13,0.006,79,"All","eKF"
"w0",0.179,0.01,79,"All","eKF"
"xi",0.066,0.034,79,"All","eKF"
"cs",0.123,0.005,80,"All","eKF"
"E0",0.117,0.024,80,"All","eKF"
"eps",0.1,0.005,80,"All","eKF"
"eta",0.09,0.003,80,"All","eKF"
"psi",0.129,0.006,80,"All","eKF"
"w0",0.179,0.009,80,"All","eKF"
"xi",0.068,0.032,80,"All","eKF"
"cs",0.124,0.004,81,"All","eKF"
"E0",0.124,0.016,81,"All","eKF"
"eps",0.1,0.005,81,"All","eKF"
"eta",0.09,0.003,81,"All","eKF"
"psi",0.13,0.006,81,"All","eKF"
"w0",0.178,0.009,81,"All","eKF"
"xi",0.074,0.026,81,"All","eKF"
"cs",0.123,0.004,82,"All","eKF"
"E0",0.114,0.025,82,"All","eKF"
"eps",0.1,0.005,82,"All","eKF"
"eta",0.09,0.003,82,"All","eKF"
"psi",0.13,0.005,82,"All","eKF"
"w0",0.179,0.008,82,"All","eKF"
"xi",0.071,0.03,82,"All","eKF"
"cs",0.122,0.004,83,"All","eKF"
"E0",0.117,0.023,83,"All","eKF"
"eps",0.1,0.004,83,"All","eKF"
"eta",0.09,0.003,83,"All","eKF"
"psi",0.13,0.004,83,"All","eKF"
"w0",0.181,0.008,83,"All","eKF"
"xi",0.073,0.026,83,"All","eKF"
"cs",0.124,0.004,84,"All","eKF"
"E0",0.111,0.026,84,"All","eKF"
"eps",0.099,0.004,84,"All","eKF"
"eta",0.09,0.003,84,"All","eKF"
"psi",0.129,0.005,84,"All","eKF"
"w0",0.179,0.008,84,"All","eKF"
"xi",0.066,0.032,84,"All","eKF"
"cs",0.123,0.004,85,"All","eKF"
"E0",0.113,0.025,85,"All","eKF"
"eps",0.099,0.005,85,"All","eKF"
"eta",0.09,0.003,85,"All","eKF"
"psi",0.13,0.005,85,"All","eKF"
"w0",0.179,0.008,85,"All","eKF"
"xi",0.072,0.026,85,"All","eKF"
"cs",0.123,0.003,86,"All","eKF"
"E0",0.118,0.02,86,"All","eKF"
"eps",0.1,0.004,86,"All","eKF"
"eta",0.09,0.002,86,"All","eKF"
"psi",0.13,0.005,86,"All","eKF"
"w0",0.179,0.007,86,"All","eKF"
"xi",0.072,0.026,86,"All","eKF"
"cs",0.124,0.003,87,"All","eKF"
"E0",0.116,0.021,87,"All","eKF"
"eps",0.1,0.004,87,"All","eKF"
"eta",0.09,0.002,87,"All","eKF"
"psi",0.13,0.004,87,"All","eKF"
"w0",0.179,0.007,87,"All","eKF"
"xi",0.068,0.029,87,"All","eKF"
"cs",0.123,0.003,88,"All","eKF"
"E0",0.117,0.019,88,"All","eKF"
"eps",0.1,0.004,88,"All","eKF"
"eta",0.09,0.002,88,"All","eKF"
"psi",0.13,0.004,88,"All","eKF"
"w0",0.179,0.007,88,"All","eKF"
"xi",0.071,0.025,88,"All","eKF"
"cs",0.123,0.003,89,"All","eKF"
"E0",0.117,0.019,89,"All","eKF"
"eps",0.1,0.004,89,"All","eKF"
"eta",0.09,0.002,89,"All","eKF"
"psi",0.13,0.004,89,"All","eKF"
"w0",0.179,0.007,89,"All","eKF"
"xi",0.072,0.024,89,"All","eKF"
"cs",0.123,0.003,90,"All","eKF"
"E0",0.116,0.019,90,"All","eKF"
"eps",0.1,0.004,90,"All","eKF"
"eta",0.09,0.002,90,"All","eKF"
"psi",0.13,0.004,90,"All","eKF"
"w0",0.179,0.006,90,"All","eKF"
"xi",0.071,0.024,90,"All","eKF"
"cs",0.123,0.003,91,"All","eKF"
"E0",0.117,0.016,91,"All","eKF"
"eps",0.1,0.003,91,"All","eKF"
"eta",0.09,0.002,91,"All","eKF"
"psi",0.13,0.004,91,"All","eKF"
"w0",0.179,0.006,91,"All","eKF"
"xi",0.072,0.022,91,"All","eKF"
"cs",0.123,0.003,92,"All","eKF"
"E0",0.117,0.016,92,"All","eKF"
"eps",0.099,0.003,92,"All","eKF"
"eta",0.09,0.002,92,"All","eKF"
"psi",0.13,0.003,92,"All","eKF"
"w0",0.179,0.006,92,"All","eKF"
"xi",0.072,0.021,92,"All","eKF"
"cs",0.124,0.002,93,"All","eKF"
"E0",0.114,0.02,93,"All","eKF"
"eps",0.099,0.003,93,"All","eKF"
"eta",0.09,0.002,93,"All","eKF"
"psi",0.13,0.003,93,"All","eKF"
"w0",0.179,0.006,93,"All","eKF"
"xi",0.072,0.021,93,"All","eKF"
"cs",0.123,0.002,94,"All","eKF"
"E0",0.118,0.013,94,"All","eKF"
"eps",0.1,0.003,94,"All","eKF"
"eta",0.09,0.001,94,"All","eKF"
"psi",0.13,0.003,94,"All","eKF"
"w0",0.179,0.005,94,"All","eKF"
"xi",0.071,0.022,94,"All","eKF"
"cs",0.123,0.002,95,"All","eKF"
"E0",0.117,0.014,95,"All","eKF"
"eps",0.1,0.003,95,"All","eKF"
"eta",0.09,0.001,95,"All","eKF"
"psi",0.13,0.003,95,"All","eKF"
"w0",0.179,0.004,95,"All","eKF"
"xi",0.074,0.016,95,"All","eKF"
"cs",0.123,0.002,96,"All","eKF"
"E0",0.118,0.011,96,"All","eKF"
"eps",0.1,0.002,96,"All","eKF"
"eta",0.09,0.001,96,"All","eKF"
"psi",0.13,0.003,96,"All","eKF"
"w0",0.179,0.004,96,"All","eKF"
"xi",0.073,0.017,96,"All","eKF"
"cs",0.123,0.002,97,"All","eKF"
"E0",0.118,0.01,97,"All","eKF"
"eps",0.1,0.002,97,"All","eKF"
"eta",0.09,0.001,97,"All","eKF"
"psi",0.13,0.002,97,"All","eKF"
"w0",0.179,0.004,97,"All","eKF"
"xi",0.075,0.011,97,"All","eKF"
"cs",0.123,0.002,98,"All","eKF"
"E0",0.118,0.01,98,"All","eKF"
"eps",0.1,0.002,98,"All","eKF"
"eta",0.09,0.001,98,"All","eKF"
"psi",0.13,0.002,98,"All","eKF"
"w0",0.179,0.004,98,"All","eKF"
"xi",0.074,0.015,98,"All","eKF"
"cs",0.123,0.001,99,"All","eKF"
"E0",0.118,0.009,99,"All","eKF"
"eps",0.1,0.002,99,"All","eKF"
"eta",0.09,0.001,99,"All","eKF"
"psi",0.13,0.002,99,"All","eKF"
"w0",0.179,0.003,99,"All","eKF"
"xi",0.074,0.013,99,"All","eKF"
"cs",0.123,0.001,100,"All","eKF"
"E0",0.118,0.007,100,"All","eKF"
"eps",0.1,0.001,100,"All","eKF"
"eta",0.09,0.001,100,"All","eKF"
"psi",0.13,0.002,100,"All","eKF"
"w0",0.179,0.002,100,"All","eKF"
"xi",0.074,0.011,100,"All","eKF"
"cs",0.123,0.001,101,"All","eKF"
"E0",0.118,0.005,101,"All","eKF"
"eps",0.1,0.001,101,"All","eKF"
"eta",0.09,0.001,101,"All","eKF"
"psi",0.13,0.001,101,"All","eKF"
"w0",0.179,0.002,101,"All","eKF"
"xi",0.074,0.009,101,"All","eKF"
"cs",0.123,0,102,"All","eKF"
"E0",0.118,0,102,"All","eKF"
"eps",0.1,0,102,"All","eKF"
"eta",0.09,0,102,"All","eKF"
"psi",0.13,0,102,"All","eKF"
"w0",0.179,0,102,"All","eKF"
"xi",0.075,0,102,"All","eKF"
"cs",0.112,0.09,2,"All","KF"
"E0",0.12,0.112,2,"All","KF"
"eta",0.092,0.067,2,"All","KF"
"psi",0.106,0.078,2,"All","KF"
"w0",0.152,0.115,2,"All","KF"
"xi",0.003,0.004,2,"All","KF"
"cs",0.115,0.072,3,"All","KF"
"E0",0.127,0.091,3,"All","KF"
"eta",0.102,0.05,3,"All","KF"
"psi",0.127,0.061,3,"All","KF"
"w0",0.144,0.071,3,"All","KF"
"xi",0.004,0.004,3,"All","KF"
"cs",0.132,0.058,4,"All","KF"
"E0",0.127,0.081,4,"All","KF"
"eta",0.106,0.045,4,"All","KF"
"psi",0.123,0.053,4,"All","KF"
"w0",0.164,0.071,4,"All","KF"
"xi",0.004,0.003,4,"All","KF"
"cs",0.128,0.056,5,"All","KF"
"E0",0.125,0.068,5,"All","KF"
"eta",0.114,0.042,5,"All","KF"
"psi",0.12,0.047,5,"All","KF"
"w0",0.165,0.061,5,"All","KF"
"xi",0.004,0.003,5,"All","KF"
"cs",0.137,0.052,6,"All","KF"
"E0",0.135,0.066,6,"All","KF"
"eta",0.111,0.034,6,"All","KF"
"psi",0.121,0.044,6,"All","KF"
"w0",0.164,0.065,6,"All","KF"
"xi",0.004,0.003,6,"All","KF"
"cs",0.143,0.052,7,"All","KF"
"E0",0.142,0.068,7,"All","KF"
"eta",0.109,0.03,7,"All","KF"
"psi",0.123,0.037,7,"All","KF"
"w0",0.173,0.052,7,"All","KF"
"xi",0.004,0.003,7,"All","KF"
"cs",0.137,0.044,8,"All","KF"
"E0",0.145,0.07,8,"All","KF"
"eta",0.114,0.03,8,"All","KF"
"psi",0.123,0.036,8,"All","KF"
"w0",0.171,0.05,8,"All","KF"
"xi",0.004,0.003,8,"All","KF"
"cs",0.137,0.047,9,"All","KF"
"E0",0.142,0.064,9,"All","KF"
"eta",0.116,0.029,9,"All","KF"
"psi",0.122,0.034,9,"All","KF"
"w0",0.174,0.051,9,"All","KF"
"xi",0.005,0.003,9,"All","KF"
"cs",0.14,0.041,10,"All","KF"
"E0",0.147,0.06,10,"All","KF"
"eta",0.115,0.025,10,"All","KF"
"psi",0.126,0.032,10,"All","KF"
"w0",0.173,0.047,10,"All","KF"
"xi",0.004,0.002,10,"All","KF"
"cs",0.141,0.041,11,"All","KF"
"E0",0.144,0.059,11,"All","KF"
"eta",0.115,0.024,11,"All","KF"
"psi",0.126,0.029,11,"All","KF"
"w0",0.178,0.045,11,"All","KF"
"xi",0.005,0.002,11,"All","KF"
"cs",0.142,0.035,12,"All","KF"
"E0",0.147,0.055,12,"All","KF"
"eta",0.115,0.023,12,"All","KF"
"psi",0.127,0.027,12,"All","KF"
"w0",0.173,0.042,12,"All","KF"
"xi",0.004,0.002,12,"All","KF"
"cs",0.141,0.033,13,"All","KF"
"E0",0.145,0.051,13,"All","KF"
"eta",0.116,0.022,13,"All","KF"
"psi",0.127,0.026,13,"All","KF"
"w0",0.175,0.041,13,"All","KF"
"xi",0.004,0.002,13,"All","KF"
"cs",0.15,0.037,14,"All","KF"
"E0",0.163,0.057,14,"All","KF"
"eta",0.121,0.017,14,"All","KF"
"psi",0.124,0.03,14,"All","KF"
"w0",0.162,0.029,14,"All","KF"
"xi",0.004,0.002,14,"All","KF"
"cs",0.14,0.033,15,"All","KF"
"E0",0.149,0.052,15,"All","KF"
"eta",0.115,0.02,15,"All","KF"
"psi",0.127,0.025,15,"All","KF"
"w0",0.179,0.036,15,"All","KF"
"xi",0.004,0.002,15,"All","KF"
"cs",0.139,0.032,16,"All","KF"
"E0",0.148,0.047,16,"All","KF"
"eta",0.119,0.02,16,"All","KF"
"psi",0.126,0.022,16,"All","KF"
"w0",0.179,0.038,16,"All","KF"
"xi",0.005,0.002,16,"All","KF"
"cs",0.142,0.032,17,"All","KF"
"E0",0.151,0.048,17,"All","KF"
"eta",0.116,0.018,17,"All","KF"
"psi",0.125,0.022,17,"All","KF"
"w0",0.176,0.034,17,"All","KF"
"xi",0.005,0.002,17,"All","KF"
"cs",0.143,0.031,18,"All","KF"
"E0",0.15,0.046,18,"All","KF"
"eta",0.117,0.018,18,"All","KF"
"psi",0.129,0.021,18,"All","KF"
"w0",0.177,0.032,18,"All","KF"
"xi",0.005,0.002,18,"All","KF"
"cs",0.142,0.028,19,"All","KF"
"E0",0.149,0.046,19,"All","KF"
"eta",0.117,0.019,19,"All","KF"
"psi",0.128,0.021,19,"All","KF"
"w0",0.176,0.03,19,"All","KF"
"xi",0.005,0.002,19,"All","KF"
"cs",0.144,0.03,20,"All","KF"
"E0",0.147,0.044,20,"All","KF"
"eta",0.119,0.018,20,"All","KF"
"psi",0.126,0.019,20,"All","KF"
"w0",0.182,0.031,20,"All","KF"
"xi",0.005,0.002,20,"All","KF"
"cs",0.145,0.025,21,"All","KF"
"E0",0.151,0.044,21,"All","KF"
"eta",0.115,0.017,21,"All","KF"
"psi",0.128,0.02,21,"All","KF"
"w0",0.175,0.03,21,"All","KF"
"xi",0.005,0.002,21,"All","KF"
"cs",0.144,0.026,22,"All","KF"
"E0",0.152,0.043,22,"All","KF"
"eta",0.115,0.017,22,"All","KF"
"psi",0.128,0.02,22,"All","KF"
"w0",0.178,0.029,22,"All","KF"
"xi",0.005,0.002,22,"All","KF"
"cs",0.164,0.015,23,"All","KF"
"E0",0.11,0.026,23,"All","KF"
"eta",0.123,0.008,23,"All","KF"
"psi",0.147,0.014,23,"All","KF"
"w0",0.216,0.023,23,"All","KF"
"xi",0.004,0.001,23,"All","KF"
"cs",0.142,0.026,24,"All","KF"
"E0",0.152,0.041,24,"All","KF"
"eta",0.118,0.016,24,"All","KF"
"psi",0.127,0.019,24,"All","KF"
"w0",0.178,0.028,24,"All","KF"
"xi",0.005,0.002,24,"All","KF"
"cs",0.145,0.023,25,"All","KF"
"E0",0.154,0.04,25,"All","KF"
"eta",0.117,0.015,25,"All","KF"
"psi",0.128,0.018,25,"All","KF"
"w0",0.179,0.027,25,"All","KF"
"xi",0.005,0.001,25,"All","KF"
"cs",0.14,0.019,26,"All","KF"
"E0",0.156,0.041,26,"All","KF"
"eta",0.116,0.014,26,"All","KF"
"psi",0.126,0.024,26,"All","KF"
"w0",0.18,0.027,26,"All","KF"
"xi",0.005,0.001,26,"All","KF"
"cs",0.145,0.023,27,"All","KF"
"E0",0.153,0.038,27,"All","KF"
"eta",0.117,0.014,27,"All","KF"
"psi",0.128,0.017,27,"All","KF"
"w0",0.181,0.027,27,"All","KF"
"xi",0.005,0.002,27,"All","KF"
"cs",0.144,0.023,28,"All","KF"
"E0",0.156,0.036,28,"All","KF"
"eta",0.115,0.013,28,"All","KF"
"psi",0.128,0.018,28,"All","KF"
"w0",0.18,0.023,28,"All","KF"
"xi",0.005,0.001,28,"All","KF"
"cs",0.14,0.022,29,"All","KF"
"E0",0.154,0.035,29,"All","KF"
"eta",0.118,0.012,29,"All","KF"
"psi",0.132,0.017,29,"All","KF"
"w0",0.176,0.019,29,"All","KF"
"xi",0.005,0.002,29,"All","KF"
"cs",0.145,0.02,30,"All","KF"
"E0",0.153,0.036,30,"All","KF"
"eta",0.116,0.013,30,"All","KF"
"psi",0.129,0.015,30,"All","KF"
"w0",0.177,0.024,30,"All","KF"
"xi",0.005,0.001,30,"All","KF"
"cs",0.144,0.021,31,"All","KF"
"E0",0.152,0.035,31,"All","KF"
"eta",0.116,0.012,31,"All","KF"
"psi",0.127,0.016,31,"All","KF"
"w0",0.18,0.023,31,"All","KF"
"xi",0.005,0.001,31,"All","KF"
"cs",0.144,0.02,32,"All","KF"
"E0",0.143,0.031,32,"All","KF"
"eta",0.113,0.011,32,"All","KF"
"psi",0.133,0.013,32,"All","KF"
"w0",0.177,0.022,32,"All","KF"
"xi",0.005,0.001,32,"All","KF"
"cs",0.144,0.021,33,"All","KF"
"E0",0.153,0.033,33,"All","KF"
"eta",0.116,0.012,33,"All","KF"
"psi",0.127,0.016,33,"All","KF"
"w0",0.179,0.021,33,"All","KF"
"xi",0.005,0.001,33,"All","KF"
"cs",0.145,0.02,34,"All","KF"
"E0",0.152,0.033,34,"All","KF"
"eta",0.117,0.012,34,"All","KF"
"psi",0.128,0.014,34,"All","KF"
"w0",0.176,0.021,34,"All","KF"
"xi",0.005,0.001,34,"All","KF"
"cs",0.143,0.019,35,"All","KF"
"E0",0.153,0.032,35,"All","KF"
"eta",0.117,0.011,35,"All","KF"
"psi",0.126,0.014,35,"All","KF"
"w0",0.184,0.019,35,"All","KF"
"xi",0.005,0.001,35,"All","KF"
"cs",0.145,0.018,36,"All","KF"
"E0",0.153,0.03,36,"All","KF"
"eta",0.116,0.012,36,"All","KF"
"psi",0.128,0.014,36,"All","KF"
"w0",0.177,0.021,36,"All","KF"
"xi",0.005,0.001,36,"All","KF"
"cs",0.145,0.018,37,"All","KF"
"E0",0.156,0.03,37,"All","KF"
"eta",0.116,0.011,37,"All","KF"
"psi",0.128,0.013,37,"All","KF"
"w0",0.178,0.02,37,"All","KF"
"xi",0.005,0.001,37,"All","KF"
"cs",0.145,0.019,38,"All","KF"
"E0",0.154,0.031,38,"All","KF"
"eta",0.116,0.011,38,"All","KF"
"psi",0.128,0.013,38,"All","KF"
"w0",0.178,0.02,38,"All","KF"
"xi",0.005,0.001,38,"All","KF"
"cs",0.146,0.018,39,"All","KF"
"E0",0.155,0.03,39,"All","KF"
"eta",0.117,0.011,39,"All","KF"
"psi",0.128,0.012,39,"All","KF"
"w0",0.179,0.019,39,"All","KF"
"xi",0.005,0.001,39,"All","KF"
"cs",0.145,0.018,40,"All","KF"
"E0",0.155,0.031,40,"All","KF"
"eta",0.118,0.01,40,"All","KF"
"psi",0.127,0.012,40,"All","KF"
"w0",0.18,0.019,40,"All","KF"
"xi",0.005,0.001,40,"All","KF"
"cs",0.147,0.017,41,"All","KF"
"E0",0.15,0.029,41,"All","KF"
"eta",0.117,0.011,41,"All","KF"
"psi",0.129,0.012,41,"All","KF"
"w0",0.18,0.018,41,"All","KF"
"xi",0.005,0.001,41,"All","KF"
"cs",0.144,0.017,42,"All","KF"
"E0",0.156,0.029,42,"All","KF"
"eta",0.117,0.01,42,"All","KF"
"psi",0.128,0.011,42,"All","KF"
"w0",0.179,0.018,42,"All","KF"
"xi",0.005,0.001,42,"All","KF"
"cs",0.145,0.017,43,"All","KF"
"E0",0.154,0.028,43,"All","KF"
"eta",0.117,0.01,43,"All","KF"
"psi",0.129,0.011,43,"All","KF"
"w0",0.18,0.018,43,"All","KF"
"xi",0.005,0.001,43,"All","KF"
