"parameter","mean","sd","pt","group","model"
"E0",0.093,0.007,45,"All","eRL"
"eta",0.005,0.001,45,"All","eRL"
"gam",0.049,0.006,45,"All","eRL"
"alpha",0.11,0.008,46,"All","eRL"
"cs",0.131,0.011,46,"All","eRL"
"E0",0.093,0.007,46,"All","eRL"
"eta",0.005,0.001,46,"All","eRL"
"gam",0.049,0.007,46,"All","eRL"
"alpha",0.113,0.008,47,"All","eRL"
"cs",0.131,0.011,47,"All","eRL"
"E0",0.093,0.007,47,"All","eRL"
"eta",0.005,0.001,47,"All","eRL"
"gam",0.049,0.006,47,"All","eRL"
"alpha",0.113,0.009,48,"All","eRL"
"cs",0.13,0.011,48,"All","eRL"
"E0",0.093,0.007,48,"All","eRL"
"eta",0.005,0.001,48,"All","eRL"
"gam",0.049,0.006,48,"All","eRL"
"alpha",0.113,0.007,49,"All","eRL"
"cs",0.129,0.01,49,"All","eRL"
"E0",0.09,0.007,49,"All","eRL"
"eta",0.005,0.001,49,"All","eRL"
"gam",0.049,0.006,49,"All","eRL"
"alpha",0.114,0.009,50,"All","eRL"
"cs",0.13,0.009,50,"All","eRL"
"E0",0.092,0.007,50,"All","eRL"
"eta",0.005,0.001,50,"All","eRL"
"gam",0.051,0.005,50,"All","eRL"
"alpha",0.113,0.007,51,"All","eRL"
"cs",0.131,0.009,51,"All","eRL"
"E0",0.092,0.006,51,"All","eRL"
"eta",0.005,0.001,51,"All","eRL"
"gam",0.049,0.005,51,"All","eRL"
"alpha",0.111,0.008,52,"All","eRL"
"cs",0.132,0.01,52,"All","eRL"
"E0",0.093,0.007,52,"All","eRL"
"eta",0.005,0.001,52,"All","eRL"
"gam",0.049,0.006,52,"All","eRL"
"alpha",0.112,0.008,53,"All","eRL"
"cs",0.132,0.009,53,"All","eRL"
"E0",0.093,0.006,53,"All","eRL"
"eta",0.005,0.001,53,"All","eRL"
"gam",0.05,0.005,53,"All","eRL"
"alpha",0.113,0.008,54,"All","eRL"
"cs",0.131,0.009,54,"All","eRL"
"E0",0.093,0.006,54,"All","eRL"
"eta",0.005,0.001,54,"All","eRL"
"gam",0.049,0.005,54,"All","eRL"
"alpha",0.112,0.007,55,"All","eRL"
"cs",0.131,0.009,55,"All","eRL"
"E0",0.093,0.006,55,"All","eRL"
"eta",0.005,0.001,55,"All","eRL"
"gam",0.049,0.005,55,"All","eRL"
"alpha",0.112,0.007,56,"All","eRL"
"cs",0.132,0.008,56,"All","eRL"
"E0",0.093,0.006,56,"All","eRL"
"eta",0.005,0.001,56,"All","eRL"
"gam",0.049,0.006,56,"All","eRL"
"alpha",0.112,0.007,57,"All","eRL"
"cs",0.131,0.008,57,"All","eRL"
"E0",0.093,0.006,57,"All","eRL"
"eta",0.005,0.001,57,"All","eRL"
"gam",0.049,0.005,57,"All","eRL"
