"modelName","parName","condDiff","L_HDI","U_HDI"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_psi","LVLS-HVHS","-2.59481676393456","3.40242314577724"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVLS-HVHS","-2.79306005566817","5.67626539323466"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_xi","LVLS-HVHS","-2.10368839819733","4.82802155273136"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVLS-HVHS","-76.597429469468","41.9082164298825"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_w0","LVLS-HVHS","-3.33343850808622","1.39556601223233"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVLS-HVHS","-36.2111359515682","29.0128215460962"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVLS-HVHS","-2.68863846857396","7.7716616976567"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_C","LVLS-HVHS","-13.9521990835483","14.6931699871486"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVLS-HVHS","-76.6750882046596","98.441850935833"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVHS-HVLS","-0.325351273404056","3.4969934495715"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_alpha","LVHS-HVLS","-1.32688077538382","0.279552833697195"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_gam","LVHS-HVLS","-1.83160402865068","4.32351312492559"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVHS-HVLS","-65.1584930607001","26.7893854285565"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVHS-HVLS","-6.25459505427318","15.2316612730161"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVHS-HVLS","-0.109798612233814","1.42206904575988"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_alpha","LVHS-HVLS","-2.08207238649604","5.01447465526628"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVHS-HVLS","-67.7063258922987","38.0699197224642"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVHS-HVLS","-15.8738500788057","41.7820262664165"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eps","LVHS-HVLS","-2.33651299552045","1.43214117600342"
