"modelName","parName","value","se_mean","sd","Rhat","vol","stoch","cond"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha",0.658469497753108,0.0288926765670549,0.000227437279120997,1.00025678761091,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam",0.262753098818804,0.0225020180702063,0.000162664935257375,0.999978687893836,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs",1.59526180586521,0.766436838811096,0.00816120043298404,1.00002850072284,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps",1.36793050448599,0.514012169638966,0.00434251072814411,0.999919353669693,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta",0.00590011250515933,0.00575710602372675,3.45835618829688e-05,0.999946874932417,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha",0.670072573907366,0.0290534581119393,0.00022842971423119,1.0002527283751,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam",0.257683200714369,0.0222118155752014,0.000160141745195309,0.999977264890828,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w",3.42334468079292,1.14944067804253,0.00751822510726576,1.00005031957373,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi",1.20768456899673,0.485322562815655,0.00454366370841667,1.00005035819943,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0",0.0422625608410839,0.0399411224309103,0.000234422504304341,0.999934369096651,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi",3.28365793831067,0.846066812407753,0.0150081901356434,1.00043099311029,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_E0",0.947571829991101,0.672235532883673,0.00396179544788187,1.00008651439638,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_alpha",0.737667252726039,0.0350234899137495,0.000303967538551814,1.00005177541996,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_avg_gam",0.216172318289201,0.0285492618436354,0.000224361121733737,0.999960512819233,"L","L","LVLS"
